"case_no","case_tag","mode","mode_sub","baseline","serve_k","init_k","output_tok_s","total_tok_s","mean_ttft_ms","draft_acceptance_rate","system_efficiency","align_accept","adaptive_switch_per_min","successful_requests","duration_s","p99_ttft_ms","mean_tpot_ms","p99_tpot_ms","mean_itl_ms","p99_itl_ms"
"1","A0_k2","basedraft","k2","A0","2","","408.36","806.33","231.07","0.770","0.799","0.8872","","200","109.46","462.15","257.52","898.23","356.93","2099.79"
"2","A0_k4","basedraft","k4","A0","4","","309.06","610.26","366.26","0.749","0.655","0.7151","","200","144.62","1300.54","292.64","923.60","565.10","2066.97"
"3","A0_k8","basedraft","k8","A0","8","","214.57","423.68","996.72","0.724","0.452","0.4865","","200","208.31","3635.17","539.84","2199.17","1069.13","6549.93"
"4","A2_k2","align_only","k2","A2","2","","395.06","780.07","259.47","0.775","0.803","0.8885","","200","113.14","460.47","237.60","660.23","357.77","2070.93"
"5","A2_k4","align_only","k4","A2","4","","342.10","675.51","324.76","0.753","0.659","0.7203","","200","130.65","1073.08","284.41","886.60","558.45","2741.42"
"6","A2_k8","align_only","k8","A2","8","","221.15","436.68","583.34","0.716","0.444","0.4794","","200","202.11","1912.53","545.70","2397.32","1051.81","7664.08"
"7","A1_k8","adaptive_only","init_k2","A1","8","2","380.40","751.42","266.41","0.764","0.675","0.8169","8.3276","200","117.41","543.96","268.86","796.86","438.81","2119.32"
"8","A1_k8","adaptive_only","init_k4","A1","8","4","388.45","767.02","254.72","0.761","0.719","0.8401","9.2749","200","115.06","493.11","250.41","714.42","402.18","2072.50"
"9","A1_k8","adaptive_only","init_k8","A1","8","8","356.34","703.61","386.02","0.738","0.562","0.6996","9.1587","200","125.43","1103.43","375.11","1392.27","540.53","3626.43"
"10","A2_k8","joint","init_k2","A2","8","2","394.03","778.04","258.91","0.771","0.745","0.8567","8.0183","200","113.43","586.31","264.42","810.47","402.17","2147.12"
"11","A2_k8","joint","init_k4","A2","8","4","392.57","775.15","248.53","0.770","0.744","0.8561","9.4633","200","113.86","519.09","258.77","731.17","398.29","1253.92"
"12","A2_k8","joint","init_k8","A2","8","8","380.29","750.91","516.77","0.739","0.546","0.6795","10.3455","200","117.53","1694.20","317.66","942.21","528.71","2155.36"
