"case_no","mode","sub","baseline","serve_k","init_k","stage_points","mean_proposal_ms","mean_scoring_ms","mean_verify_ms","gen_points","avg_gen_tps","peak_gen_tps","peak_gpu_kv_pct"
"1","basedraft","k2","A0","2","","22","64.43","88.69","7.79","23","159.3","406.4","31.4"
"2","basedraft","k4","A0","4","","28","63.84","106.59","11.22","30","87.8","254.6","34"
"3","basedraft","k8","A0","8","","36","63.94","217.57","19.67","42","50.4","140.1","35.8"
"4","align_only","k2","A2","2","","23","63.31","90.22","7.96","23","159.8","396.5","28.5"
"5","align_only","k4","A2","4","","25","62.91","129.44","11.44","27","97.6","254.5","34.4"
"6","align_only","k8","A2","8","","34","61.6","237.17","70.72","40","52.4","143.9","37.9"
"7","adaptive_only","init_k2","A1","8","2","23","63.47","97.02","9.1","25","125.5","378.4","33"
"8","adaptive_only","init_k4","A1","8","4","23","64.79","88.88","8.62","24","141.5","345.9","30.6"
"9","adaptive_only","init_k8","A1","8","8","24","63.6","118.22","13.15","27","112","259.7","37.8"
"10","joint","init_k2","A2","8","2","22","65.07","96.43","9.07","23","147.2","377.4","30.3"
"11","joint","init_k4","A2","8","4","23","64.56","92.01","8.31","24","143.2","386.6","32.5"
"12","joint","init_k8","A2","8","8","23","59.42","139.53","13.05","25","114.6","276.4","31.8"
