"case_no","mode","sub","baseline","serve_k","init_k","spec_points","spec_time_to_first_s","spec_window_s","acc_first","acc_last","acc_delta","acc_std","eff_first","eff_last","eff_delta","spec_k_first","spec_k_last","spec_k_span","align_points","align_acc_first","align_acc_last","align_acc_delta","align_tps_last","align_p95_last","adp_points","adp_switch_events","adp_sw_first","adp_sw_last","adp_sw_delta","adp_occ_first","adp_occ_last","adp_occ_delta","adp_final_hist"
"1","basedraft","k2","A0","2","","22","114","113","0.5","0.77","0.27","0.0651","0.333","0.799","0.466","2","2","2-2","2","0.8827","0.8872","0.0045","215.417","289.417","0","0","","","","","","",""
"2","basedraft","k4","A0","4","","27","110","146","0.5","0.749","0.249","0.0603","0.2","0.655","0.455","4","4","4-4","1","0.7151","0.7151","0","266.985","526.805","0","0","","","","","","",""
"3","basedraft","k8","A0","8","","36","109","219","0.5","0.724","0.224","0.0446","0.111","0.452","0.341","8","8","8-8","1","0.4865","0.4865","0","211.794","1036.316","0","0","","","","","","",""
"4","align_only","k2","A2","2","","22","109","113","0.5","0.775","0.275","0.0654","0.333","0.803","0.47","2","2","2-2","2","0.8835","0.8885","0.005","210.981","301.315","0","0","","","","","","",""
"5","align_only","k4","A2","4","","24","111","135","0.5","0.753","0.253","0.0632","0.2","0.659","0.459","4","4","4-4","1","0.7203","0.7203","0","268.797","550.43","0","0","","","","","","",""
"6","align_only","k8","A2","8","","34","109","214","0.5","0.716","0.216","0.0436","0.111","0.444","0.333","8","8","8-8","1","0.4794","0.4794","0","208.674","1036.977","0","0","","","","","","",""
"7","adaptive_only","init_k2","A1","8","2","22","116","119","0.5","0.764","0.264","0.0616","0.333","0.675","0.342","2","2","2-4","2","0.8145","0.8169","0.0024","208.985","381.337","40","10","0","8.3276","8.3276","0","0.1175","0.1175","2:256,3:97,4:47"
"8","adaptive_only","init_k4","A1","8","4","22","110","118","0.5","0.761","0.261","0.0655","0.2","0.719","0.519","4","2","2-4","2","0.8328","0.8401","0.0073","215.2","372.559","44","12","1.2942","9.2749","7.9807","0.7","0.0227","-0.6773","2:350,3:80,4:10"
"9","adaptive_only","init_k8","A1","8","8","24","111","135","0.5","0.738","0.238","0.0549","0.111","0.562","0.451","8","2","2-8","2","0.6823","0.6996","0.0173","202.961","684.881","40","12","1.2173","9.1587","7.9414","1","0.1975","-0.8025","2:260,3:61,4:8,5:20,6:33,7:11,8:7"
"10","joint","init_k2","A2","8","2","21","111","114","0.5","0.771","0.271","0.065","0.333","0.745","0.412","2","2","2-3","2","0.8501","0.8567","0.0066","213.088","372.576","42","10","0","8.0183","8.0183","0","0.0048","0.0048","2:361,3:57,4:2"
"11","joint","init_k4","A2","8","4","22","109","118","0.5","0.77","0.27","0.0676","0.2","0.744","0.544","4","2","2-4","2","0.8505","0.8561","0.0056","214.636","377.157","43","12","1.3109","9.4633","8.1524","0.7","0.0186","-0.6814","2:357,3:65,4:8"
"12","joint","init_k8","A2","8","8","23","111","126","0.5","0.739","0.239","0.0571","0.111","0.546","0.435","8","2","2-8","1","0.6795","0.6795","0","257.476","791.856","38","12","1.2647","10.3455","9.0808","1","0.2316","-0.7684","2:182,3:110,4:17,5:20,6:33,7:11,8:7"
