"case_no","mode","sub","verify_avg_ms","verify_median_ms","verify_max_ms","verify_gt100_cnt","verify_gt500_cnt"
"1","basedraft","k2","7.79","7.17","14.9","0","0"
"2","basedraft","k4","11.22","8.12","28.95","0","0"
"3","basedraft","k8","19.67","11.99","60.74","0","0"
"4","align_only","k2","7.96","8.06","15.28","0","0"
"5","align_only","k4","11.44","7.93","27.37","0","0"
"6","align_only","k8","70.72","11.34","1786.44","1","1"
"7","adaptive_only","init_k2","9.1","9","17.17","0","0"
"8","adaptive_only","init_k4","8.62","8.29","16.73","0","0"
"9","adaptive_only","init_k8","13.15","7.94","38.77","0","0"
"10","joint","init_k2","9.07","7.6","18.02","0","0"
"11","joint","init_k4","8.31","8.39","15.71","0","0"
"12","joint","init_k8","13.05","9.08","44.57","0","0"
