"data_group","source_file","suite","k","successful_requests","benchmark_duration_s","total_input_tokens","total_generated_tokens","request_throughput_req_s","output_token_throughput_tok_s","total_token_throughput_tok_s","mean_ttft_ms","median_ttft_ms","p99_ttft_ms","mean_tpot_ms","median_tpot_ms","p99_tpot_ms","mean_itl_ms","median_itl_ms","p99_itl_ms"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","A_FP_ON_MQA_ON","2","200","86.96","43560","44678","2.30","513.78","1014.71","277.46","247.78","578.06","307.19","163.12","1411.91","311.45","258.63","1938.77"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k4.log","A_FP_ON_MQA_ON","4","200","86.08","43560","44676","2.32","519.02","1025.07","260.00","247.40","550.90","326.97","193.96","1129.92","340.11","268.62","1842.62"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k8.log","A_FP_ON_MQA_ON","8","200","82.30","43560","44685","2.43","542.98","1072.29","260.16","236.47","664.14","302.78","178.11","1058.00","343.23","269.92","2224.19"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_B_FP_ON_MQA_OFF_k2.log","B_FP_ON_MQA_OFF","2","200","136.42","43560","44697","1.47","327.65","646.97","233.44","219.70","443.68","303.48","218.81","914.28","314.90","271.85","2311.82"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_B_FP_ON_MQA_OFF_k4.log","B_FP_ON_MQA_OFF","4","200","142.00","43560","44695","1.41","314.75","621.51","298.33","257.01","719.89","352.96","234.37","1510.60","332.24","280.20","2625.66"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_B_FP_ON_MQA_OFF_k8.log","B_FP_ON_MQA_OFF","8","200","136.26","43560","44697","1.47","328.03","647.71","267.43","252.20","598.19","316.49","227.42","1046.98","319.65","270.14","1827.26"
"C&D","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\bench_C_FP_OFF_MQA_ON_k2.log","C_FP_OFF_MQA_ON","2","200","94.46","43560","44685","2.12","473.06","934.21","235.67","214.86","447.38","316.05","179.78","1361.04","334.03","289.33","1409.37"
"C&D","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\bench_C_FP_OFF_MQA_ON_k4.log","C_FP_OFF_MQA_ON","4","200","90.56","43560","44697","2.21","493.59","974.62","290.62","234.31","1155.16","312.44","199.48","1012.66","358.60","293.83","1862.41"
"C&D","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\bench_C_FP_OFF_MQA_ON_k8.log","C_FP_OFF_MQA_ON","8","200","85.28","43560","44697","2.35","524.13","1034.92","280.11","251.96","623.59","330.46","183.90","1392.83","381.50","301.70","2040.89"
"C&D","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\bench_D_FP_OFF_MQA_OFF_k2.log","D_FP_OFF_MQA_OFF","2","200","111.39","43560","44628","1.80","400.65","791.72","257.48","248.14","481.06","263.80","187.21","891.35","375.08","318.07","2116.80"
"C&D","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\bench_D_FP_OFF_MQA_OFF_k4.log","D_FP_OFF_MQA_OFF","4","200","110.43","43560","44563","1.81","403.54","798.00","319.87","267.14","987.99","252.10","194.54","693.26","396.68","327.07","1602.86"
"C&D","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\bench_D_FP_OFF_MQA_OFF_k8.log","D_FP_OFF_MQA_OFF","8","200","119.28","43560","44697","1.68","374.72","739.92","249.91","231.54","501.74","259.96","207.53","650.42","452.66","386.58","1800.28"
"no_spec","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\no_spec\bench_NO_SPEC_k0.log","NO_SPEC","0","200","63.24","43560","44697","3.16","706.73","1395.48","231.40","200.06","693.38","139.53","109.59","355.35","92.72","76.06","402.16"
