"data_group","file_name","file_path","extension","source_kind","suite_from_name","k_from_name","size_bytes","line_count","last_write_time","sha256"
"A&B","bench_A_FP_ON_MQA_ON_k2.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log",".log","bench","A_FP_ON_MQA_ON","2","13540","175","2026-03-11 18:33:24","DEF59C0615F5EE1DE5EEFBC93AF124D32143596EB72F5072163ADEE363A4AED9"
"A&B","bench_A_FP_ON_MQA_ON_k4.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k4.log",".log","bench","A_FP_ON_MQA_ON","4","14044","184","2026-03-11 18:37:08","63AC9CCA784E419708A61B89C8B18C0326A466518B9DF1D6204A6CCC6454C303"
"A&B","bench_A_FP_ON_MQA_ON_k8.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k8.log",".log","bench","A_FP_ON_MQA_ON","8","13965","183","2026-03-11 18:40:50","6124D657EF9945A7F137E1BA609CA6C1322EF605A7CC5FD68A5026C5DCF6A44F"
"A&B","bench_B_FP_ON_MQA_OFF_k2.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_B_FP_ON_MQA_OFF_k2.log",".log","bench","B_FP_ON_MQA_OFF","2","13918","181","2026-03-11 18:45:43","BF01E42D9FBFE0D784DA0464E17F67A23822F0479A3FF9AA692A524C849E22B5"
"A&B","bench_B_FP_ON_MQA_OFF_k4.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_B_FP_ON_MQA_OFF_k4.log",".log","bench","B_FP_ON_MQA_OFF","4","14281","186","2026-03-11 18:50:28","4496044A44BA87FB6A37A7B162A06C8DDED947F30D6A42776B7058859EB41E6D"
"A&B","bench_B_FP_ON_MQA_OFF_k8.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_B_FP_ON_MQA_OFF_k8.log",".log","bench","B_FP_ON_MQA_OFF","8","14554","191","2026-03-11 18:55:05","9743B7D6373E5729B8DB97F556AFFD2C142AD0563A027D416DF10F90AC57D493"
"A&B","key_A_FP_ON_MQA_ON_k2.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\key_A_FP_ON_MQA_ON_k2.log",".log","key","A_FP_ON_MQA_ON","2","33335","128","2026-03-11 18:33:27","AA67B1B5B9697014D6C94BF72372FDB71C74AD8FFC44E74C622302DBC46CD8D4"
"A&B","key_A_FP_ON_MQA_ON_k4.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\key_A_FP_ON_MQA_ON_k4.log",".log","key","A_FP_ON_MQA_ON","4","30283","113","2026-03-11 18:37:12","50CA6727914025A88E162344C3AC1A3FB9141ACB29B627EE40CD4DA5E4EAC593"
"A&B","key_A_FP_ON_MQA_ON_k8.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\key_A_FP_ON_MQA_ON_k8.log",".log","key","A_FP_ON_MQA_ON","8","28015","103","2026-03-11 18:40:54","C333E73E36A0EA97E75D39286AEB8091633B05DBAB9A173B9A2FC4C15A76649E"
"A&B","key_B_FP_ON_MQA_OFF_k2.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\key_B_FP_ON_MQA_OFF_k2.log",".log","key","B_FP_ON_MQA_OFF","2","50033","196","2026-03-11 18:45:47","D66C24F03308AFBF1A4D19D546904B639EECCDF5E8F95F9A6B507C01F40019CA"
"A&B","key_B_FP_ON_MQA_OFF_k4.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\key_B_FP_ON_MQA_OFF_k4.log",".log","key","B_FP_ON_MQA_OFF","4","49726","194","2026-03-11 18:50:32","44AD5B8C7728A19ADFC04E1CA02FB583C46E7A6BFEA9FB4CC682409FC26BC149"
"A&B","key_B_FP_ON_MQA_OFF_k8.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\key_B_FP_ON_MQA_OFF_k8.log",".log","key","B_FP_ON_MQA_OFF","8","49291","192","2026-03-11 18:55:09","D2DD6C09C762533A41530A3192278AF54EDC978C9875F73D33969A24F77C48FC"
"A&B","meta_A_FP_ON_MQA_ON_k2.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k2.log",".log","meta","A_FP_ON_MQA_ON","2","1329","16","2026-03-11 18:30:58","C0F83B5E758150B03B1B615629703AD631FC1CB53C2609A876856CC748E80901"
"A&B","meta_A_FP_ON_MQA_ON_k4.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k4.log",".log","meta","A_FP_ON_MQA_ON","4","1329","16","2026-03-11 18:34:43","D5FEB78A77603D9E818F7596F5CF0BA82A85483184456A0A57A8A3DC6646C41E"
"A&B","meta_A_FP_ON_MQA_ON_k8.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k8.log",".log","meta","A_FP_ON_MQA_ON","8","1329","16","2026-03-11 18:38:26","8EFD454B0A912008DE86792E17C17A182FDBE7E6E23EA5069941261303B954B1"
"A&B","meta_B_FP_ON_MQA_OFF_k2.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k2.log",".log","meta","B_FP_ON_MQA_OFF","2","1323","16","2026-03-11 18:42:26","D4737B9819F6EC90342D194C38525F4720557F5050F43D71922CD267B58CE176"
"A&B","meta_B_FP_ON_MQA_OFF_k4.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k4.log",".log","meta","B_FP_ON_MQA_OFF","4","1323","16","2026-03-11 18:47:04","F0C5BDDF69C5E7BBF4C690E9B9EACBE4DBC2E0AB8609C902360D084AF044BF65"
"A&B","meta_B_FP_ON_MQA_OFF_k8.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_B_FP_ON_MQA_OFF_k8.log",".log","meta","B_FP_ON_MQA_OFF","8","1323","16","2026-03-11 18:51:48","F22520815234BAC9A379C7144653924AEB41E11E3D51D408028F9295F2B2873B"
"A&B","probe_A_FP_ON_MQA_ON.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\probe_A_FP_ON_MQA_ON.log",".log","probe","A_FP_ON_MQA_ON",,"2612","27","2026-03-11 18:29:41","3DCFA9705D663E5FA2CF8EBA1807D1C842BF4C5BE2A323C579485E570222DAD8"
"A&B","probe_B_FP_ON_MQA_OFF.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\probe_B_FP_ON_MQA_OFF.log",".log","probe","B_FP_ON_MQA_OFF",,"2605","27","2026-03-11 18:41:10","C2F6D66D2D6007BE3818E6564FF49B7583D47D74406F1CD21AA1247C3621C2D8"
"A&B","server_A_FP_ON_MQA_ON_k2.log","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\server_A_FP_ON_MQA_ON_k2.log",".log","server","A_FP_ON_MQA_ON","2","640646","898","2026-03-11 18:33:24","2A2721CD2299282244A7FF5DB1A8CB48E608B7FDCF64E5D815B5A0E4B95729A0"
