"data_group","file_path","source_kind","suite_from_name","k_from_name","line_no","key","value"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","20","append_result","False"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","20","base_url","'http://127.0.0.1:8000'"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","20","bench_type","'serve'"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","20","burstiness","1.0"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","20","dataset_name","'sharegpt'"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","20","dataset_path","'/mnt/ky2307909/siyuan.tong/dataset/ShareGPT_V3_unfiltered_cleaned_split.json'"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","20","disable_tqdm","False"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","20","dispatch_function","<function BenchmarkServingSubcommand.cmd at 0xfffc2b4cb640>"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","20","endpoint","'/v1/completions'"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","20","endpoint_type","'vllm'"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","20","goodput","None"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","20","hf_output_len","None"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","20","hf_split","None"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","20","hf_subset","None"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","20","host","'127.0.0.1'"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","20","ignore_eos","False"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","20","label","None"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","20","logprobs","None"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","20","lora_modules","None)"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","20","max_concurrency","None"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","20","metadata","None"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","20","metric_percentiles","'99'"
