"data_group","file_path","source_kind","suite_from_name","k_from_name","key","last_line_no","last_value"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","append_result","20","False"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","base_url","20","'http://127.0.0.1:8000'"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","bench_type","20","'serve'"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","burstiness","20","1.0"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","dataset_name","20","'sharegpt'"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","dataset_path","20","'/mnt/ky2307909/siyuan.tong/dataset/ShareGPT_V3_unfiltered_cleaned_split.json'"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","disable_tqdm","20","False"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","dispatch_function","20","<function BenchmarkServingSubcommand.cmd at 0xfffc2b4cb640>"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","endpoint","20","'/v1/completions'"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","endpoint_type","20","'vllm'"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","goodput","20","None"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","hf_output_len","20","None"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","hf_split","20","None"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","hf_subset","20","None"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","host","20","'127.0.0.1'"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","ignore_eos","20","False"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","label","20","None"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","logprobs","20","None"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","lora_modules","20","None)"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","max_concurrency","20","None"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","metadata","20","None"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","metric_percentiles","20","'99'"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","min_p","20","None"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","model","20","'qwen3-8B'"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","num_prompts","20","200"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","percentile_metrics","20","'ttft,tpot,itl'"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","port","20","8000"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","profile","20","False"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","random_input_len","20","1024"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","random_output_len","20","128"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","random_prefix_len","20","0"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","random_range_ratio","20","0.0"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","request_rate","20","16.0"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","result_dir","20","None"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","result_filename","20","None"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","save_detailed","20","False"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","save_result","20","False"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","seed","20","0"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","served_model_name","20","None"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","sharegpt_output_len","20","None"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","sonnet_input_len","20","550"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","sonnet_output_len","20","150"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","sonnet_prefix_len","20","200"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","subparser","20","'bench'"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","temperature","20","None"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","tokenizer","20","'/mnt/ky2307909/siyuan.tong/Qwen3-8B'"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","tokenizer_mode","20","'auto'"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","top_k","20","None"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","top_p","20","None"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","trust_remote_code","20","True"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","use_beam_search","20","False"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k4.log","bench","A_FP_ON_MQA_ON","4","append_result","20","False"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k4.log","bench","A_FP_ON_MQA_ON","4","base_url","20","'http://127.0.0.1:8000'"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k4.log","bench","A_FP_ON_MQA_ON","4","bench_type","20","'serve'"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k4.log","bench","A_FP_ON_MQA_ON","4","burstiness","20","1.0"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k4.log","bench","A_FP_ON_MQA_ON","4","dataset_name","20","'sharegpt'"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k4.log","bench","A_FP_ON_MQA_ON","4","dataset_path","20","'/mnt/ky2307909/siyuan.tong/dataset/ShareGPT_V3_unfiltered_cleaned_split.json'"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k4.log","bench","A_FP_ON_MQA_ON","4","disable_tqdm","20","False"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k4.log","bench","A_FP_ON_MQA_ON","4","dispatch_function","20","<function BenchmarkServingSubcommand.cmd at 0xfffc0483b490>"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k4.log","bench","A_FP_ON_MQA_ON","4","endpoint","20","'/v1/completions'"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k4.log","bench","A_FP_ON_MQA_ON","4","endpoint_type","20","'vllm'"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k4.log","bench","A_FP_ON_MQA_ON","4","goodput","20","None"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k4.log","bench","A_FP_ON_MQA_ON","4","hf_output_len","20","None"
