"data_group","file_path","source_kind","suite_from_name","k_from_name","key","count","min","max","avg","last_value","last_line_no"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","burstiness","1","1","1","1","1","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","num_prompts","1","200","200","200","200","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","port","1","8000","8000","8000","8000","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","random_input_len","1","1024","1024","1024","1024","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","random_output_len","1","128","128","128","128","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","random_prefix_len","1","0","0","0","0","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","random_range_ratio","1","0","0","0","0","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","request_rate","1","16","16","16","16","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","seed","1","0","0","0","0","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","sonnet_input_len","1","550","550","550","550","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","sonnet_output_len","1","150","150","150","150","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k2.log","bench","A_FP_ON_MQA_ON","2","sonnet_prefix_len","1","200","200","200","200","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k4.log","bench","A_FP_ON_MQA_ON","4","burstiness","1","1","1","1","1","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k4.log","bench","A_FP_ON_MQA_ON","4","num_prompts","1","200","200","200","200","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k4.log","bench","A_FP_ON_MQA_ON","4","port","1","8000","8000","8000","8000","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k4.log","bench","A_FP_ON_MQA_ON","4","random_input_len","1","1024","1024","1024","1024","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k4.log","bench","A_FP_ON_MQA_ON","4","random_output_len","1","128","128","128","128","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k4.log","bench","A_FP_ON_MQA_ON","4","random_prefix_len","1","0","0","0","0","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k4.log","bench","A_FP_ON_MQA_ON","4","random_range_ratio","1","0","0","0","0","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k4.log","bench","A_FP_ON_MQA_ON","4","request_rate","1","16","16","16","16","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k4.log","bench","A_FP_ON_MQA_ON","4","seed","1","0","0","0","0","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k4.log","bench","A_FP_ON_MQA_ON","4","sonnet_input_len","1","550","550","550","550","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k4.log","bench","A_FP_ON_MQA_ON","4","sonnet_output_len","1","150","150","150","150","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k4.log","bench","A_FP_ON_MQA_ON","4","sonnet_prefix_len","1","200","200","200","200","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k8.log","bench","A_FP_ON_MQA_ON","8","burstiness","1","1","1","1","1","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k8.log","bench","A_FP_ON_MQA_ON","8","num_prompts","1","200","200","200","200","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k8.log","bench","A_FP_ON_MQA_ON","8","port","1","8000","8000","8000","8000","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k8.log","bench","A_FP_ON_MQA_ON","8","random_input_len","1","1024","1024","1024","1024","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k8.log","bench","A_FP_ON_MQA_ON","8","random_output_len","1","128","128","128","128","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k8.log","bench","A_FP_ON_MQA_ON","8","random_prefix_len","1","0","0","0","0","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k8.log","bench","A_FP_ON_MQA_ON","8","random_range_ratio","1","0","0","0","0","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k8.log","bench","A_FP_ON_MQA_ON","8","request_rate","1","16","16","16","16","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k8.log","bench","A_FP_ON_MQA_ON","8","seed","1","0","0","0","0","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k8.log","bench","A_FP_ON_MQA_ON","8","sonnet_input_len","1","550","550","550","550","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k8.log","bench","A_FP_ON_MQA_ON","8","sonnet_output_len","1","150","150","150","150","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_A_FP_ON_MQA_ON_k8.log","bench","A_FP_ON_MQA_ON","8","sonnet_prefix_len","1","200","200","200","200","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_B_FP_ON_MQA_OFF_k2.log","bench","B_FP_ON_MQA_OFF","2","burstiness","1","1","1","1","1","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_B_FP_ON_MQA_OFF_k2.log","bench","B_FP_ON_MQA_OFF","2","num_prompts","1","200","200","200","200","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_B_FP_ON_MQA_OFF_k2.log","bench","B_FP_ON_MQA_OFF","2","port","1","8000","8000","8000","8000","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_B_FP_ON_MQA_OFF_k2.log","bench","B_FP_ON_MQA_OFF","2","random_input_len","1","1024","1024","1024","1024","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_B_FP_ON_MQA_OFF_k2.log","bench","B_FP_ON_MQA_OFF","2","random_output_len","1","128","128","128","128","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_B_FP_ON_MQA_OFF_k2.log","bench","B_FP_ON_MQA_OFF","2","random_prefix_len","1","0","0","0","0","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_B_FP_ON_MQA_OFF_k2.log","bench","B_FP_ON_MQA_OFF","2","random_range_ratio","1","0","0","0","0","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_B_FP_ON_MQA_OFF_k2.log","bench","B_FP_ON_MQA_OFF","2","request_rate","1","16","16","16","16","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_B_FP_ON_MQA_OFF_k2.log","bench","B_FP_ON_MQA_OFF","2","seed","1","0","0","0","0","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_B_FP_ON_MQA_OFF_k2.log","bench","B_FP_ON_MQA_OFF","2","sonnet_input_len","1","550","550","550","550","20"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\bench_B_FP_ON_MQA_OFF_k2.log","bench","B_FP_ON_MQA_OFF","2","sonnet_output_len","1","150","150","150","150","20"
