"data_group","suite","k","status","mqa_mode","supports_gpu_multi_step","throughput_tps_summary","mean_tpot_ms_summary","mean_itl_ms_summary","scoring_time_ms_summary","verification_time_ms_summary","base_worker_or_runner_total_ms","benchmark_duration_s_bench","request_throughput_req_s_bench","output_tps_bench","total_tps_bench","mean_ttft_ms_bench","median_ttft_ms_bench","p99_ttft_ms_bench","warning_count_server_log","error_count_server_log","traceback_count_server_log"
"A&B","A_FP_ON_MQA_ON","2","OK","MQA","True","513.78","307.19","311.45","57.61","5.15","|66.55","86.96","2.30","513.78","1014.71","277.46","247.78","578.06","27","11","1"
"A&B","A_FP_ON_MQA_ON","4","OK","MQA","True","519.02","326.97","340.11","60.61","5.35","|68.47","86.08","2.32","519.02","1025.07","260.00","247.40","550.90","27","11","1"
"A&B","A_FP_ON_MQA_ON","8","OK","MQA","True","542.98","302.78","343.23","81.52","5.22","|68.09","82.30","2.43","542.98","1072.29","260.16","236.47","664.14","27","11","1"
"A&B","B_FP_ON_MQA_OFF","2","OK","BATCH_EXPANSION","True","327.65","303.48","314.90","84.77","7.18","|66.73","136.42","1.47","327.65","646.97","233.44","219.70","443.68","27","11","1"
"A&B","B_FP_ON_MQA_OFF","4","OK","BATCH_EXPANSION","True","314.75","352.96","332.24","56.04","3.56","|69.73","142.00","1.41","314.75","621.51","298.33","257.01","719.89","27","11","1"
"A&B","B_FP_ON_MQA_OFF","8","OK","BATCH_EXPANSION","True","328.03","316.49","319.65","51.63","4.48","|66.96","136.26","1.47","328.03","647.71","267.43","252.20","598.19","27","11","1"
"A&B","C_FP_OFF_MQA_ON","2","SERVER_FAIL","MQA","","","","","","","|",,,,,,,,,,
"C&D","C_FP_OFF_MQA_ON","2","OK","MQA","False.","473.06","316.05","334.03","54.69","3.57","|67.64","94.46","2.12","473.06","934.21","235.67","214.86","447.38","24","11","1"
"C&D","C_FP_OFF_MQA_ON","4","OK","MQA","False.","493.59","312.44","358.60","84.44","5.14","|70.94","90.56","2.21","493.59","974.62","290.62","234.31","1155.16","24","11","1"
"C&D","C_FP_OFF_MQA_ON","8","OK","MQA","False.","524.13","330.46","381.50","58.80","4.96","|70.13","85.28","2.35","524.13","1034.92","280.11","251.96","623.59","24","11","1"
"C&D","D_FP_OFF_MQA_OFF","2","OK","BATCH_EXPANSION","False.","400.65","263.80","375.08","60.01","5.35","|68.63","111.39","1.80","400.65","791.72","257.48","248.14","481.06","24","11","1"
"C&D","D_FP_OFF_MQA_OFF","4","OK","BATCH_EXPANSION","False.","403.54","252.10","396.68","59.73","5.15","|71.42","110.43","1.81","403.54","798.00","319.87","267.14","987.99","24","11","1"
"C&D","D_FP_OFF_MQA_OFF","8","OK","BATCH_EXPANSION","False.","374.72","259.96","452.66","54.21","4.84","|70.21","119.28","1.68","374.72","739.92","249.91","231.54","501.74","24","11","1"
"no_spec","NO_SPEC","0","OK","UNKNOWN","","706.73","139.53","92.72","","","|60.40","63.24","3.16","706.73","1395.48","231.40","200.06","693.38","26","11","1"
