"data_group","file_path","source_kind","suite","k","tag","line_no","key","value"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k2.log","meta","A_FP_ON_MQA_ON","2","META","1","date","2026-03-11 18:29:44"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k2.log","meta","A_FP_ON_MQA_ON","2","META","2","suite","A_FP_ON_MQA_ON"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k2.log","meta","A_FP_ON_MQA_ON","2","META","3","k","2"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k2.log","meta","A_FP_ON_MQA_ON","2","META","4","MODEL_PATH","/mnt/ky2307909/siyuan.tong/Qwen3-8B"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k2.log","meta","A_FP_ON_MQA_ON","2","META","5","DRAFT_MODEL_PATH","/mnt/ky2307909/siyuan.tong/Qwen3-0-6B"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k2.log","meta","A_FP_ON_MQA_ON","2","META","6","DATASET_PATH","/mnt/ky2307909/siyuan.tong/dataset/ShareGPT_V3_unfiltered_cleaned_split.json"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k2.log","meta","A_FP_ON_MQA_ON","2","META","7","HOST","127.0.0.1"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k2.log","meta","A_FP_ON_MQA_ON","2","META","7","PORT","8000"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k2.log","meta","A_FP_ON_MQA_ON","2","META","8","NUM_PROMPTS","200"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k2.log","meta","A_FP_ON_MQA_ON","2","META","8","REQUEST_RATE","16"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k2.log","meta","A_FP_ON_MQA_ON","2","META","9","VLLM_ASCEND_SPEC_GPU_MULTI_STEP_BACKENDS","FLASH_ATTN,ASCEND"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k2.log","meta","A_FP_ON_MQA_ON","2","META","10","VLLM_ASCEND_SPEC_MQA_BACKENDS","FLASH_ATTN,ASCEND"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k2.log","meta","A_FP_ON_MQA_ON","2","META","11","VLLM_ASCEND_BASE_STAGE_LOG_ENABLE","1"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k2.log","meta","A_FP_ON_MQA_ON","2","META","12","VLLM_ASCEND_BASE_STAGE_LOG_INTERVAL","50"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k2.log","meta","A_FP_ON_MQA_ON","2","META","13","VLLM_ASCEND_RUNNER_STAGE_LOG_ENABLE","1"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\meta_A_FP_ON_MQA_ON_k2.log","meta","A_FP_ON_MQA_ON","2","META","14","VLLM_ASCEND_RUNNER_STAGE_LOG_INTERVAL","50"
