"data_group","source_file","row_no","suite","k","status","throughput_tps","mean_tpot_ms","mean_itl_ms","mqa_mode","supports_gpu_multi_step","fastpath_hit_rate","scoring_time_ms","verification_time_ms","base_worker_or_runner_total_ms"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\summary.csv","1","A_FP_ON_MQA_ON","2","OK","513.78","307.19","311.45","MQA","True","","57.61","5.15","|66.55"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\summary.csv","2","A_FP_ON_MQA_ON","4","OK","519.02","326.97","340.11","MQA","True","","60.61","5.35","|68.47"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\summary.csv","3","A_FP_ON_MQA_ON","8","OK","542.98","302.78","343.23","MQA","True","","81.52","5.22","|68.09"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\summary.csv","4","B_FP_ON_MQA_OFF","2","OK","327.65","303.48","314.90","BATCH_EXPANSION","True","","84.77","7.18","|66.73"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\summary.csv","5","B_FP_ON_MQA_OFF","4","OK","314.75","352.96","332.24","BATCH_EXPANSION","True","","56.04","3.56","|69.73"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\summary.csv","6","B_FP_ON_MQA_OFF","8","OK","328.03","316.49","319.65","BATCH_EXPANSION","True","","51.63","4.48","|66.96"
"A&B","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\summary.csv","7","C_FP_OFF_MQA_ON","2","SERVER_FAIL","","","","MQA","","","","","|"
"C&D","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\summary.csv","1","C_FP_OFF_MQA_ON","2","OK","473.06","316.05","334.03","MQA","False.","","54.69","3.57","|67.64"
"C&D","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\summary.csv","2","C_FP_OFF_MQA_ON","4","OK","493.59","312.44","358.60","MQA","False.","","84.44","5.14","|70.94"
"C&D","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\summary.csv","3","C_FP_OFF_MQA_ON","8","OK","524.13","330.46","381.50","MQA","False.","","58.80","4.96","|70.13"
"C&D","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\summary.csv","4","D_FP_OFF_MQA_OFF","2","OK","400.65","263.80","375.08","BATCH_EXPANSION","False.","","60.01","5.35","|68.63"
"C&D","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\summary.csv","5","D_FP_OFF_MQA_OFF","4","OK","403.54","252.10","396.68","BATCH_EXPANSION","False.","","59.73","5.15","|71.42"
"C&D","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\summary.csv","6","D_FP_OFF_MQA_OFF","8","OK","374.72","259.96","452.66","BATCH_EXPANSION","False.","","54.21","4.84","|70.21"
"no_spec","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\no_spec\summary.csv","1","NO_SPEC","0","OK","706.73","139.53","92.72","UNKNOWN","","","","","|60.40"
