"suite","k","throughput_tps","mean_tpot_ms","mean_itl_ms","mqa_mode","supports_gpu_multi_step","fallback_cpu_prepare","stage_line_count","avg_prop_tok_ms","avg_scoring_ms","avg_verification_ms","base_runner_lines","avg_base_runner_total_ms","source_file"
"A_FP_ON_MQA_ON","2","513.78","307.19","311.45","MQA","True","0","17","59.32","73.76","8.35","9","68.18","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\key_A_FP_ON_MQA_ON_k2.log"
"A_FP_ON_MQA_ON","4","519.02","326.97","340.11","MQA","True","0","17","57.36","75.66","10.08","8","70.24","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\key_A_FP_ON_MQA_ON_k4.log"
"A_FP_ON_MQA_ON","8","542.98","302.78","343.23","MQA","True","0","17","55.35","76.84","9.62","7","69.44","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\key_A_FP_ON_MQA_ON_k8.log"
"B_FP_ON_MQA_OFF","2","327.65","303.48","314.9","BATCH_EXPANSION","True","0","27","57.88","110.93","8.06","13","67.03","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\key_B_FP_ON_MQA_OFF_k2.log"
"B_FP_ON_MQA_OFF","4","314.75","352.96","332.24","BATCH_EXPANSION","True","0","28","59.14","95.85","8.31","13","71.02","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\key_B_FP_ON_MQA_OFF_k4.log"
"B_FP_ON_MQA_OFF","8","328.03","316.49","319.65","BATCH_EXPANSION","True","0","27","51.94","91.14","8.02","13","66.62","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\A&B\key_B_FP_ON_MQA_OFF_k8.log"
"C_FP_OFF_MQA_ON","2","473.06","316.05","334.03","MQA","False","1","20","69.53","73.64","7.88","9","68.61","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\key_C_FP_OFF_MQA_ON_k2.log"
"C_FP_OFF_MQA_ON","4","493.59","312.44","358.6","MQA","False","1","18","65.57","76.9","9.74","7","72.52","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\key_C_FP_OFF_MQA_ON_k4.log"
"C_FP_OFF_MQA_ON","8","524.13","330.46","381.5","MQA","False","1","17","63.18","73.17","9.47","7","71.89","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\key_C_FP_OFF_MQA_ON_k8.log"
"D_FP_OFF_MQA_OFF","2","400.65","263.8","375.08","BATCH_EXPANSION","False","1","22","70.74","91.59","8.01","10","70.9","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\key_D_FP_OFF_MQA_OFF_k2.log"
"D_FP_OFF_MQA_OFF","4","403.54","252.1","396.68","BATCH_EXPANSION","False","1","22","65.08","95.41","9.32","9","72.68","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\key_D_FP_OFF_MQA_OFF_k4.log"
"D_FP_OFF_MQA_OFF","8","374.72","259.96","452.66","BATCH_EXPANSION","False","1","23","66.22","137.01","10.79","9","73.19","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\C&D\key_D_FP_OFF_MQA_OFF_k8.log"
"NO_SPEC","0","706.73","139.53","92.72","UNKNOWN","","0","0",,,,"20","64.23","C:\Users\407407\Desktop\vllm\github\MQA_FastPath\no_spec\key_NO_SPEC_k0.log"
